"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 11:32:35 GMT 2024","Tue Oct 15 11:32:38 GMT 2024","2270","tests","Login In","TestSingIn","","","Click on button Create an Account",""
"passed","Tue Oct 15 11:31:43 GMT 2024","Tue Oct 15 11:31:44 GMT 2024","1033","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 11:31:03 GMT 2024","Tue Oct 15 11:31:05 GMT 2024","1783","tests","Registration","TestCreateAccount","","","Create an account with invalid email: 123.com",""
"passed","Tue Oct 15 11:31:51 GMT 2024","Tue Oct 15 11:31:55 GMT 2024","3288","tests","Search","TestSearch","","","Search by 2 characters",""
"passed","Tue Oct 15 11:31:05 GMT 2024","Tue Oct 15 11:31:07 GMT 2024","1599","tests","Registration","TestCreateAccount","","","Create an account with invalid email: @mail.com",""
"passed","Tue Oct 15 11:31:50 GMT 2024","Tue Oct 15 11:31:51 GMT 2024","1340","tests","Main Page","TestMainPage","","","he page contains Cart",""
"passed","Tue Oct 15 11:31:46 GMT 2024","Tue Oct 15 11:31:47 GMT 2024","1237","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 11:32:08 GMT 2024","Tue Oct 15 11:32:12 GMT 2024","3763","tests","Login In","TestSingIn","","","Login In",""
"passed","Tue Oct 15 11:31:01 GMT 2024","Tue Oct 15 11:31:02 GMT 2024","1700","tests","Registration","TestCreateAccount","","","Create an account with empty last name field",""
"passed","Tue Oct 15 11:31:42 GMT 2024","Tue Oct 15 11:31:43 GMT 2024","1146","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 11:31:37 GMT 2024","Tue Oct 15 11:31:38 GMT 2024","1259","tests","Main Page","TestMainPage","","","The search bar is displayed on the page",""
"passed","Tue Oct 15 11:31:16 GMT 2024","Tue Oct 15 11:31:17 GMT 2024","1656","tests","Registration","TestCreateAccount","","","Create an account with not match passwords",""
"passed","Tue Oct 15 11:31:40 GMT 2024","Tue Oct 15 11:31:41 GMT 2024","1237","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"passed","Tue Oct 15 11:31:35 GMT 2024","Tue Oct 15 11:31:37 GMT 2024","2071","tests","Main Page","TestMainPage","","","Check logo on main page",""
"passed","Tue Oct 15 11:30:59 GMT 2024","Tue Oct 15 11:31:00 GMT 2024","1782","tests","Registration","TestCreateAccount","","","Create an account with empty first name field",""
"passed","Tue Oct 15 11:31:21 GMT 2024","Tue Oct 15 11:31:25 GMT 2024","3704","tests","Products","TestMiniItems","","","test_add_to_cart_without_size",""
"passed","Tue Oct 15 11:31:09 GMT 2024","Tue Oct 15 11:31:11 GMT 2024","1772","tests","Registration","TestCreateAccount","","","Create an account with empty password field",""
"passed","Tue Oct 15 11:31:55 GMT 2024","Tue Oct 15 11:31:58 GMT 2024","2817","tests","Search","TestSearch","","","Search by 3 characters",""
"passed","Tue Oct 15 11:32:33 GMT 2024","Tue Oct 15 11:32:35 GMT 2024","1569","tests","Login In","TestSingIn","","","Login in with empty password field",""
"passed","Tue Oct 15 11:31:11 GMT 2024","Tue Oct 15 11:31:13 GMT 2024","1797","tests","Registration","TestCreateAccount","","","Create an account with weak password",""
"passed","Tue Oct 15 11:32:05 GMT 2024","Tue Oct 15 11:32:08 GMT 2024","2298","tests","Search","TestSearch","","","Product search by partial coincidence",""
"passed","Tue Oct 15 11:31:58 GMT 2024","Tue Oct 15 11:32:01 GMT 2024","2842","tests","Search","TestSearch","","","Search for a non-existent product",""
"passed","Tue Oct 15 11:31:25 GMT 2024","Tue Oct 15 11:31:28 GMT 2024","2759","tests","Products","TestMiniItems","","","test_add_to_wishlist",""
"passed","Tue Oct 15 11:32:01 GMT 2024","Tue Oct 15 11:32:05 GMT 2024","3655","tests","Search","TestSearch","","","Product search by full name",""
"passed","Tue Oct 15 11:30:54 GMT 2024","Tue Oct 15 11:30:58 GMT 2024","4532","tests","Registration","TestCreateAccount","","","Create a new account",""
"passed","Tue Oct 15 11:31:45 GMT 2024","Tue Oct 15 11:31:46 GMT 2024","1173","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"failed","Tue Oct 15 11:31:31 GMT 2024","Tue Oct 15 11:31:34 GMT 2024","2835","tests","Products","TestMiniItems","","","Add an item to your wish list",""
"passed","Tue Oct 15 11:31:39 GMT 2024","Tue Oct 15 11:31:40 GMT 2024","1226","tests","Main Page","TestMainPage","","","Banners are displayed on the page",""
"broken","Tue Oct 15 11:32:12 GMT 2024","Tue Oct 15 11:32:33 GMT 2024","21069","tests","Login In","TestSingIn","","","Login in with empty email field",""
"passed","Tue Oct 15 11:31:13 GMT 2024","Tue Oct 15 11:31:15 GMT 2024","1855","tests","Registration","TestCreateAccount","","","Password is less than 8 characters",""
"passed","Tue Oct 15 11:32:38 GMT 2024","Tue Oct 15 11:32:41 GMT 2024","3283","tests","Login In","TestSingIn","","","Click on forgot password link",""
"broken","Tue Oct 15 11:31:18 GMT 2024","Tue Oct 15 11:31:21 GMT 2024","2905","tests","Products","TestMiniItems","","","Add an item to the cart without opening the product page and without selecting options)",""
"passed","Tue Oct 15 11:31:48 GMT 2024","Tue Oct 15 11:31:49 GMT 2024","1438","tests","Main Page","TestMainPage","","","The page contains hot seller products",""
"passed","Tue Oct 15 11:31:07 GMT 2024","Tue Oct 15 11:31:09 GMT 2024","1910","tests","Registration","TestCreateAccount","","","Create an account with invalid email: 123mail.com",""
